name,address,type,latitude,longitude,phone,website,is_service_area_only,containing_places,rating,reviews,opening_hours,place_id
Parkland Clinic,"7330 S Westmoreland Rd, Dallas, TX 75237, USA",medical_clinic,32.6575799,-96.8821107,(214) 590-0606,https://www.parklandhealth.org/locations,False,,,,,ChIJnatuYQCRToYRxypc1xk4BHo
Victory World Outreach Church | South Dallas,"7330 S Westmoreland Rd Ste 201, Dallas, TX 75237, USA",church,32.6575799,-96.8821107,,http://vwotexas.org/vwosouthdallas,False,,5,19,Monday: Closed | Tuesday: Closed | Wednesday: 6:30 – 8:30 PM | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: 9:30 – 11:30 AM,ChIJERwM6R2RToYR-brEAZ4Zp2w
4 Angels Event Center,"7330 S Westmoreland Rd Ste 140, Dallas, TX 75237, USA",event_venue,32.6576212,-96.8818991,(214) 402-3252,https://www.4angeleseventcentertx.com/,False,,4.7,43,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 9:00 AM – 4:00 PM | Sunday: Closed,ChIJyYRg9KmRToYR-k_sp2slq14
MultiCultural Development Center,"7440 S Westmoreland Rd, Dallas, TX 75237, USA",non_profit_organization,32.6552305,-96.8832786,(972) 296-5502,,False,,,,,ChIJAQDAyqiRToYRow6bfYRRNj0
Penny’s Child Care and Learning Center,"7440 S Westmoreland Rd, Dallas, TX 75237, USA",child_care_agency,32.6552305,-96.8832786,(972) 707-7430,http://pennyschildcarecenter.com/,False,,3.7,3,,ChIJAQDAyqiRToYRsoLaskF73LQ
Central Pointe Church-Christ,"7440 S Westmoreland Rd, Dallas, TX 75237, USA",church,32.6552153,-96.88316619999999,(972) 296-5502,http://centralpointechurch.org/,False,,4.8,113,"Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM, 6:00 – 9:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: Closed | Sunday: 8:30 AM – 5:00 PM",ChIJ66UvMa-RToYRD4iyDZnNsc0
Urban Health Systems,"7310 S Westmoreland Rd, Dallas, TX 75237, USA",point_of_interest,32.658373399999995,-96.88290529999999,(214) 337-4700,http://www.urbanhealthsystems.org/home/index.php/location,False,,,,,ChIJAQDQTqmRToYRWMj4yxkCe9I
Auto Spotz,"7310 S Westmoreland Rd Ste 8, Dallas, TX 75237, USA",car_dealer,32.658373399999995,-96.88290529999999,(214) 467-1066,,False,,,,Monday: 1:00 – 5:00 PM | Tuesday: 1:00 – 5:00 PM | Wednesday: 1:00 – 5:00 PM | Thursday: 1:00 – 5:00 PM | Friday: 1:00 – 5:00 PM | Saturday: Closed | Sunday: Closed,ChIJJfyOzIuRToYRZxTUcidYJss
"Murchison Ira D.O.,P.A.","7310 S Westmoreland Rd #9, Dallas, TX 75237, USA",doctor,32.658373399999995,-96.88290529999999,(972) 780-1122,,False,,3.4,30,Monday: 9:00 AM – 4:00 PM | Tuesday: 9:00 AM – 4:00 PM | Wednesday: 9:00 AM – 4:00 PM | Thursday: 9:00 AM – 4:00 PM | Friday: 9:00 AM – 12:00 PM | Saturday: Closed | Sunday: Closed,ChIJud2ATamRToYR0vQh15n53wI
"Ronnie Shade, MD (Urban Health Systems)","7310 S Westmoreland Rd #1, Dallas, TX 75237, USA",doctor,32.6585214,-96.88308099999999,(214) 337-4700,http://www.urbanhealthsystems.org/home/,False,,4.1,20,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 4:30 PM | Saturday: Closed | Sunday: Closed,ChIJud2ATamRToYRE0oEv_m5htk
Change history 180,"3913 Gannon Ln #728, Dallas, TX 75237, USA",non_profit_organization,32.6550142,-96.882536,(214) 772-3072,,False,,,,,ChIJd74ldeS1h6QRZrMPtu7lhCg
Payinfoward inc,"3913 Gannon Ln #728, Dallas, TX 75237, USA",transportation_service,32.6550142,-96.882536,(214) 772-3072,,False,,,,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,ChIJWZS87hrm8AcRRn5Kn8S-udA
U-Haul Neighborhood Dealer,"7460 S Westmoreland Rd Ste 105C, Dallas, TX 75237, USA",service,32.655147,-96.884417,(469) 250-5437,https://www.uhaul.com/Locations/Truck-Rentals-near-Dallas-TX-75237/025075/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=025075,False,,5,1,Monday: 9:00 AM – 5:30 PM | Tuesday: 9:00 AM – 5:30 PM | Wednesday: 9:00 AM – 5:30 PM | Thursday: 9:00 AM – 5:30 PM | Friday: 9:00 AM – 5:30 PM | Saturday: 12:00 – 3:00 PM | Sunday: Closed,ChIJ37QZNu-RToYRZ_RvE7YXb10
Max Beauty Supply,"7460 S Westmoreland Rd #103, Dallas, TX 75237, USA",store,32.6551178,-96.8844038,(214) 484-4952,,False,,4.4,408,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 11:00 AM – 6:30 PM,ChIJ1cCgcq-RToYR2mNlUn2yfos
Westmoreland @ Investor - N - NS,"Dallas, TX 75237, USA",bus_stop,32.65871,-96.88319,,,False,,,,,ChIJW9OJUqmRToYRYJ8RMXH_d88
Whip N Market & Deli,"7460 S Westmoreland Rd #100, Dallas, TX 75237, USA",convenience_store,32.6552751,-96.884739,(972) 298-3870,,False,,5,2,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,ChIJ1cCgcq-RToYRLQNWpJGxi68
Palladium Apt,"7502 S Westmoreland Rd, Dallas, TX 75237, USA",apartment_building,32.6557077,-96.8852239,,,False,,,,,ChIJseW6ky-RToYR5ehyyzayzyE
"The Missionary Church of God in Christ Urban Initiatives, inc.","7460 S Westmoreland Rd Ste. 105, Dallas, TX 75237, USA",non_profit_organization,32.6546136,-96.8839847,(214) 288-3464,,False,,,,Monday: 10:30 AM – 4:00 PM | Tuesday: 10:30 AM – 4:00 PM | Wednesday: 10:30 AM – 4:00 PM | Thursday: 10:30 AM – 4:00 PM | Friday: 10:30 AM – 4:00 PM | Saturday: Closed | Sunday: 11:00 AM – 2:00 PM,ChIJU5qTdHeRToYRl0lnk_iFu64
Missionary C.O.G.I.C Learning Center,"7460 S Westmoreland Rd Ste. 105, Dallas, TX 75237, USA",child_care_agency,32.6546136,-96.8839847,(214) 758-0412,https://amcogiclc.com/,False,,3.7,3,Monday: 6:00 AM – 6:00 PM | Tuesday: 6:00 AM – 6:00 PM | Wednesday: 6:00 AM – 6:00 PM | Thursday: 6:00 AM – 6:00 PM | Friday: 6:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,ChIJFczbe9iWToYRGZsMtyi-J0I
Express Laundry Center Lavanderia,"7307 S Westmoreland Rd, Dallas, TX 75237, USA",service,32.6589691,-96.88360340000001,(972) 283-6703,,False,,4.5,274,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,ChIJ-YZ1rK6RToYRrIl2jJA8Y2M
Discount Food Mart,"7491 S Westmoreland Rd, Dallas, TX 75237, USA",convenience_store,32.6553429,-96.88579209999999,,,False,,4.2,13,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,ChIJcb_fC6-RToYRSzr40b2LDps
Porsha Bakes LLC,"7550 S Westmoreland Rd Apt 414, Dallas, TX 75237, USA",bakery,32.6538939,-96.8849733,(214) 216-6841,https://www.facebook.com/profile.php?id=100079241359436,False,,,,,ChIJYUEXykuRToYRH7WfdCnvPVw
Way of Vultures,"4060 Preferred Pl #833, Dallas, TX 75237, USA",clothing_store,32.6596232,-96.8853572,,,False,,,,,ChIJ9b14OkqRToYRaX7eRPkTqYI
